Amaurobius_ferox	x1	1	2	3	4	5	6	7	x2	x3	8	9	10	11	11	12	13	14	14	15	16	17	18	19	20
Araneus_marmoreus	13	6	6	5	7	11	4	8	13	12	10	7	5	4	4	2	8	11	11	1	3	1	2	10	3
Amaurobius_ferox-Araneus_marmoreus-percCountMax	0.5024272	0.7588652	0.4687933	0.7786561	0.8737542	0.5776398	0.7483553	0.8157895	0.5096154	0.5567452	0.8015873	0.7834646	0.8135283	0.7008547	0.7008547	0.7504912	0.8416486	0.4851064	0.4851064	0.7803922	0.8189135	0.7995643	0.7383178	0.8482972	0.8463855
Argiope_bruennichi	x2	8	8	4	1	10	5	2	x2	x1	9	1	4	5	5	3	2	10	10	6	7	6	3	9	7
Amaurobius_ferox-Argiope_bruennichi-percCountMax	0.5010799	0.7506739	0.4536213	0.7503169	0.8677686	0.5611193	0.7397476	0.8205128	0.4804965	0.5550936	0.7820896	0.7897727	0.8143608	0.7303609	0.7303609	0.7485605	0.8734440	0.4739069	0.4739069	0.8173432	0.8062731	0.8174442	0.7212714	0.8498498	0.8247734
Dysdera_silvatica	1	4	4	5	4	2	5	3	1	1	2	3	1	2	2	2	6	1	2	5	4	5	2	7	6
Amaurobius_ferox-Dysdera_silvatica-percCountMax	0.5653924	0.4085779	0.2673913	0.1783296	0.3209877	0.4174174	0.1994949	0.4447592	0.6261398	0.5305344	0.2537688	0.3090278	0.2662722	0.2334385	0.2334385	0.2222222	0.3018868	0.3134328	0.3134328	0.4258675	0.3657718	0.4947735	0.3219697	0.3041475	0.4414894
Ectatosticta_davidi	3	8	15	11	11	7	1	15	3	2	5	12	7	7	1	6	9	7	7	14	13	14	6	11	9
Amaurobius_ferox-Ectatosticta_davidi-percCountMax	0.3339518	0.3000000	0.2831858	0.2100193	0.4506329	0.3525000	0.2044444	0.2882206	0.5454545	0.2397260	0.4189474	0.3115727	0.2122016	0.2281167	0.2281167	0.3575269	0.2945205	0.3170103	0.3170103	0.5336927	0.3026316	0.3765060	0.6141479	0.2605042	0.3445378
Gibbaranea_gibbosa	x1	6	6	2	3	7	1	4	x1	x2	1	3	2	1	1	5	4	7	7	2	3	2	5	1	3
Amaurobius_ferox-Gibbaranea_gibbosa-percCountMax	0.4826303	0.7514620	0.4717514	0.7250946	0.5893471	0.5622255	0.7796327	0.8244275	0.4741874	0.5648352	0.8080229	0.5620155	0.5981818	0.7619048	0.7619048	0.7364185	0.8614319	0.4916435	0.4916435	0.5028355	0.6195857	0.6456212	0.7354988	0.8543689	0.8125000
Hylyphantes_graminicola	12	6	6	7	3	8	4	1	13	12	5	3	7	4	4	9	1	8	8	11	10	11	9	5	10
Amaurobius_ferox-Hylyphantes_graminicola-percCountMax	0.3957503	0.7749667	0.4734112	0.7634409	0.8628389	0.6534508	0.7943485	0.8142589	0.5745721	0.4428969	0.8283688	0.7970402	0.7887324	0.7423313	0.7423313	0.7259101	0.8381375	0.5260989	0.5260989	0.8244275	0.8282443	0.8545082	0.7340909	0.8410405	0.8381503
Larinioides_cornutus	x1	7	7	5	2	10	8	1	x1	x2	9	2	5	8	8	4	1	10	10	6	3	6	4	9	3
Amaurobius_ferox-Larinioides_cornutus-percCountMax	0.4833525	0.7526596	0.4574899	0.7710526	0.8786885	0.5752461	0.7233385	0.8315412	0.4854545	0.5348315	0.7806268	0.8026820	0.8053571	0.7104247	0.7104247	0.7643678	0.8280632	0.4779221	0.4779221	0.7797834	0.8017544	0.7983871	0.7186047	0.8382353	0.8119658
Latrodectus_elegans	1	5	5	2	12	7	3	14	1	9	10	12	6	3	3	2	14	7	7	6	11	6	8	4	11
